rank,company,posting_records,share_of_records,cumulative_share
446,Hootsuite,5,0.0005127679212388473,0.6922366936724439
447,Octopus Energy,5,0.0005127679212388473,0.6927494615936827
448,BillionToOne,5,0.0005127679212388473,0.6932622295149216
449,TDS,5,0.0005127679212388473,0.6937749974361604
450,Sparksoft,5,0.0005127679212388473,0.6942877653573992
451,Tyson Foods,5,0.0005127679212388473,0.6948005332786381
452,Pebl,5,0.0005127679212388473,0.6953133011998769
453,Carrier Global,4,0.00041021433699107784,0.6957235155368681
454,Santander,4,0.00041021433699107784,0.6961337298738591
455,ServiceNow,4,0.00041021433699107784,0.6965439442108502
456,Zscaler,4,0.00041021433699107784,0.6969541585478413
457,Shield AI,4,0.00041021433699107784,0.6973643728848323
458,Sony Interactive Entertainment,4,0.00041021433699107784,0.6977745872218234
459,Tanium,4,0.00041021433699107784,0.6981848015588145
460,KEEN Footwear,4,0.00041021433699107784,0.6985950158958055
461,Bandwidth,4,0.00041021433699107784,0.6990052302327966
462,The Toro Company,4,0.00041021433699107784,0.6994154445697877
463,Atlassian,4,0.00041021433699107784,0.6998256589067788
464,Global Partners,4,0.00041021433699107784,0.7002358732437699
465,Great American Insurance Company,4,0.00041021433699107784,0.700646087580761
