rank,company,posting_records,share_of_records,cumulative_share
377,Axiom Space,5,0.0005127679212388473,0.6568557071069634
378,Sanofi,5,0.0005127679212388473,0.6573684750282023
379,Axos Bank,5,0.0005127679212388473,0.6578812429494411
380,Hewlett Packard Enterprise,5,0.0005127679212388473,0.65839401087068
381,CVS Health,5,0.0005127679212388473,0.6589067787919187
382,Semtech,5,0.0005127679212388473,0.6594195467131576
383,LinkedIn,5,0.0005127679212388473,0.6599323146343965
384,AVEVA,5,0.0005127679212388473,0.6604450825556353
385,Motional,5,0.0005127679212388473,0.6609578504768742
386,Neurocrine Biosciences,5,0.0005127679212388473,0.661470618398113
387,Archer,5,0.0005127679212388473,0.6619833863193518
388,Ribbon,5,0.0005127679212388473,0.6624961542405907
389,Southwest Airlines,5,0.0005127679212388473,0.6630089221618296
390,Visier Solutions,5,0.0005127679212388473,0.6635216900830684
391,True Anomaly,5,0.0005127679212388473,0.6640344580043073
392,Sherwin-Williams,5,0.0005127679212388473,0.664547225925546
393,Rocket Companies,5,0.0005127679212388473,0.6650599938467849
394,Cox,5,0.0005127679212388473,0.6655727617680238
395,DiDi Global,5,0.0005127679212388473,0.6660855296892626
396,AssetMark,5,0.0005127679212388473,0.6665982976105015
397,Stanley Black & Decker,5,0.0005127679212388473,0.6671110655317404
398,Analytic Partners,5,0.0005127679212388473,0.6676238334529792
399,Farmers Insurance,5,0.0005127679212388473,0.668136601374218
400,Relativity,5,0.0005127679212388473,0.6686493692954569
401,PricewaterhouseCoopers (PwC),5,0.0005127679212388473,0.6691621372166957
402,Oura,5,0.0005127679212388473,0.6696749051379346
403,ZOLL Medical Corporation,5,0.0005127679212388473,0.6701876730591734
404,Honeywell,5,0.0005127679212388473,0.6707004409804123
405,Zebra Technologies,5,0.0005127679212388473,0.6712132089016511
406,Wex,5,0.0005127679212388473,0.6717259768228899
407,Thomson Reuters,5,0.0005127679212388473,0.6722387447441288
408,Nelnet,5,0.0005127679212388473,0.6727515126653677
409,Sharp Electronics,5,0.0005127679212388473,0.6732642805866065
410,Yes Energy,5,0.0005127679212388473,0.6737770485078454
411,Tempus,5,0.0005127679212388473,0.6742898164290841
412,Equifax,5,0.0005127679212388473,0.674802584350323
413,CareBridge,5,0.0005127679212388473,0.6753153522715619
414,Gordon Food Service,5,0.0005127679212388473,0.6758281201928007
415,Strategic Education,5,0.0005127679212388473,0.6763408881140396
416,Varex Imaging Corporation,5,0.0005127679212388473,0.6768536560352785
417,Cresta,5,0.0005127679212388473,0.6773664239565172
418,AspenTech,5,0.0005127679212388473,0.6778791918777561
419,Analytical Mechanics Associates,5,0.0005127679212388473,0.678391959798995
420,Iron Mountain,5,0.0005127679212388473,0.6789047277202338
421,Brunswick,5,0.0005127679212388473,0.6794174956414727
422,Fanatics,5,0.0005127679212388473,0.6799302635627115
423,Abacus Insights,5,0.0005127679212388473,0.6804430314839504
424,Edwards Lifesciences,5,0.0005127679212388473,0.6809557994051892
425,Cisive,5,0.0005127679212388473,0.681468567326428
426,Stewart,5,0.0005127679212388473,0.6819813352476669
427,Eikon Therapeutics,5,0.0005127679212388473,0.6824941031689058
428,Protiviti,5,0.0005127679212388473,0.6830068710901446
429,RELX,5,0.0005127679212388473,0.6835196390113835
430,Northwestern Mutual,5,0.0005127679212388473,0.6840324069326223
431,Advanced Energy,5,0.0005127679212388473,0.6845451748538611
432,ZoomInfo,5,0.0005127679212388473,0.6850579427751
433,Ambarella,5,0.0005127679212388473,0.6855707106963388
434,Kioxia,5,0.0005127679212388473,0.6860834786175777
435,Terran Orbital,5,0.0005127679212388473,0.6865962465388166
436,Magna International,5,0.0005127679212388473,0.6871090144600553
437,Progyny,5,0.0005127679212388473,0.6876217823812942
438,Accuray,5,0.0005127679212388473,0.6881345503025331
439,Snyk,5,0.0005127679212388473,0.6886473182237719
440,United Parcel Service (UPS),5,0.0005127679212388473,0.6891600861450108
441,Torch Technologies,5,0.0005127679212388473,0.6896728540662496
442,Blue Cross Blue Shield,5,0.0005127679212388473,0.6901856219874885
443,PsiQuantum,5,0.0005127679212388473,0.6906983899087273
444,Wabtec,5,0.0005127679212388473,0.6912111578299661
445,City of Baltimore,5,0.0005127679212388473,0.691723925751205
